Entity,Code,Year,Average retirement age
Australia,AUS,1990,61.45
Australia,AUS,1991,61.15
Australia,AUS,1992,61.25
Australia,AUS,1993,61.65
Australia,AUS,1994,60.9
Australia,AUS,1995,60.85
Australia,AUS,1996,60.55
Australia,AUS,1997,60.45
Australia,AUS,1998,60.25
Australia,AUS,1999,60.85
Australia,AUS,2000,60.8
Australia,AUS,2001,61.1
Australia,AUS,2002,61.75
Australia,AUS,2003,62.05
Australia,AUS,2004,61.7
Australia,AUS,2005,62.5
Australia,AUS,2006,63.0
Australia,AUS,2007,62.9
Australia,AUS,2008,62.55
Australia,AUS,2009,63.45
Australia,AUS,2010,63.6
Australia,AUS,2011,63.8
Australia,AUS,2012,63.75
Australia,AUS,2013,64.15
Australia,AUS,2014,63.85
Australia,AUS,2015,64.3
Australia,AUS,2016,64.4
Australia,AUS,2017,64.9
Australia,AUS,2018,64.8
Australia,AUS,2019,63.8
Australia,AUS,2020,63.7
Australia,AUS,2021,64.0
Australia,AUS,2022,64.75
Australia,AUS,2023,64.65
Australia,AUS,2024,64.65
Austria,AUT,1990,61.75
Austria,AUT,1991,61.6
Austria,AUT,1992,61.25
Austria,AUT,1993,60.95
Austria,AUT,1994,60.7
Austria,AUT,1995,60.25
Austria,AUT,1996,60.15
Austria,AUT,1997,60.3
Austria,AUT,1998,60.45
Austria,AUT,1999,60.05
Austria,AUT,2000,59.6
Austria,AUT,2001,58.9
Austria,AUT,2002,59.5
Austria,AUT,2003,59.6
Austria,AUT,2004,58.5
Austria,AUT,2005,58.25
Austria,AUT,2006,58.95
Austria,AUT,2007,58.05
Austria,AUT,2008,57.7
Austria,AUT,2009,58.0
Austria,AUT,2010,58.75
Austria,AUT,2011,59.2
Austria,AUT,2012,60.5
Austria,AUT,2013,61.0
Austria,AUT,2014,61.2
Austria,AUT,2015,61.05
Austria,AUT,2016,61.3
Austria,AUT,2017,62.05
Austria,AUT,2018,62.15
Austria,AUT,2019,61.5
Austria,AUT,2020,61.35
Austria,AUT,2021,61.95
Austria,AUT,2022,61.25
Austria,AUT,2023,61.75
Austria,AUT,2024,61.95
Belgium,BEL,1990,57.3
Belgium,BEL,1991,57.65
Belgium,BEL,1992,56.7
Belgium,BEL,1993,57.35
Belgium,BEL,1994,57.4
Belgium,BEL,1995,57.35
Belgium,BEL,1996,56.7
Belgium,BEL,1997,57.65
Belgium,BEL,1998,57.65
Belgium,BEL,1999,57.85
Belgium,BEL,2000,57.8
Belgium,BEL,2001,57.75
Belgium,BEL,2002,57.65
Belgium,BEL,2003,57.0
Belgium,BEL,2004,57.8
Belgium,BEL,2005,58.15
Belgium,BEL,2006,58.45
Belgium,BEL,2007,59.3
Belgium,BEL,2008,59.6
Belgium,BEL,2009,59.65
Belgium,BEL,2010,59.8
Belgium,BEL,2011,59.3
Belgium,BEL,2012,59.15
Belgium,BEL,2013,59.4
Belgium,BEL,2014,59.55
Belgium,BEL,2015,59.85
Belgium,BEL,2016,60.5
Belgium,BEL,2017,60.9
Belgium,BEL,2018,61.05
Belgium,BEL,2019,59.95
Belgium,BEL,2020,60.5
Belgium,BEL,2021,60.5
Belgium,BEL,2022,61.2
Belgium,BEL,2023,61.1
Belgium,BEL,2024,61.5
Canada,CAN,1990,62.5
Canada,CAN,1991,62.5
Canada,CAN,1992,62.15
Canada,CAN,1993,61.8
Canada,CAN,1994,61.5
Canada,CAN,1995,61.35
Canada,CAN,1996,61.0
Canada,CAN,1997,61.15
Canada,CAN,1998,61.2
Canada,CAN,1999,61.75
Canada,CAN,2000,61.75
Canada,CAN,2001,62.0
Canada,CAN,2002,62.35
Canada,CAN,2003,63.0
Canada,CAN,2004,62.65
Canada,CAN,2005,62.55
Canada,CAN,2006,62.6
Canada,CAN,2007,62.65
Canada,CAN,2008,62.6
Canada,CAN,2009,62.75
Canada,CAN,2010,62.85
Canada,CAN,2011,63.3
Canada,CAN,2012,63.3
Canada,CAN,2013,63.55
Canada,CAN,2014,63.55
Canada,CAN,2015,64.15
Canada,CAN,2016,64.55
Canada,CAN,2017,64.8
Canada,CAN,2018,64.75
Canada,CAN,2019,63.85
Canada,CAN,2020,63.25
Canada,CAN,2021,64.25
Canada,CAN,2022,64.2
Canada,CAN,2023,64.6
Canada,CAN,2024,64.2
Chile,CHL,1990,69.4
Chile,CHL,1991,66.1
Chile,CHL,1992,66.0
Chile,CHL,1993,67.6
Chile,CHL,1994,67.9
Chile,CHL,1995,65.75
Chile,CHL,1996,66.65
Chile,CHL,1997,67.55
Chile,CHL,1998,67.9
Chile,CHL,1999,67.75
Chile,CHL,2000,68.65
Chile,CHL,2001,67.55
Chile,CHL,2002,66.3
Chile,CHL,2003,66.7
Chile,CHL,2004,66.3
Chile,CHL,2005,67.25
Chile,CHL,2006,68.15
Chile,CHL,2007,69.5
Chile,CHL,2008,68.7
Chile,CHL,2009,68.9
Chile,CHL,2010,68.5
Chile,CHL,2011,68.8
Chile,CHL,2012,69.35
Chile,CHL,2013,68.65
Chile,CHL,2014,68.95
Chile,CHL,2015,69.2
Chile,CHL,2016,68.9
Chile,CHL,2017,68.15
Chile,CHL,2018,68.35
Chile,CHL,2019,66.3
Chile,CHL,2020,62.85
Chile,CHL,2021,64.0
Chile,CHL,2022,65.5
Chile,CHL,2023,66.6
Chile,CHL,2024,67.6
Colombia,COL,2019,65.6
Colombia,COL,2020,63.5
Colombia,COL,2021,64.45
Colombia,COL,2022,64.25
Colombia,COL,2023,64.4
Colombia,COL,2024,64.3
Costa Rica,CRI,2019,64.6
Costa Rica,CRI,2020,64.3
Costa Rica,CRI,2021,63.8
Costa Rica,CRI,2022,64.45
Costa Rica,CRI,2023,62.15
Costa Rica,CRI,2024,62.3
Czechia,CZE,1996,59.9
Czechia,CZE,1997,60.05
Czechia,CZE,1998,60.05
Czechia,CZE,1999,59.9
Czechia,CZE,2000,59.8
Czechia,CZE,2001,60.05
Czechia,CZE,2002,60.0
Czechia,CZE,2003,60.05
Czechia,CZE,2004,59.85
Czechia,CZE,2005,59.95
Czechia,CZE,2006,60.0
Czechia,CZE,2007,60.3
Czechia,CZE,2008,60.7
Czechia,CZE,2009,60.5
Czechia,CZE,2010,60.6
Czechia,CZE,2011,60.85
Czechia,CZE,2012,61.45
Czechia,CZE,2013,61.65
Czechia,CZE,2014,61.9
Czechia,CZE,2015,61.9
Czechia,CZE,2016,61.65
Czechia,CZE,2017,61.8
Czechia,CZE,2018,62.25
Czechia,CZE,2019,62.0
Czechia,CZE,2020,62.3
Czechia,CZE,2021,62.55
Czechia,CZE,2022,63.1
Czechia,CZE,2023,63.45
Czechia,CZE,2024,63.6
Denmark,DNK,1990,63.65
Denmark,DNK,1991,63.3
Denmark,DNK,1992,62.85
Denmark,DNK,1993,61.85
Denmark,DNK,1994,60.9
Denmark,DNK,1995,61.1
Denmark,DNK,1996,60.7
Denmark,DNK,1997,60.95
Denmark,DNK,1998,61.1
Denmark,DNK,1999,61.85
Denmark,DNK,2000,61.6
Denmark,DNK,2001,61.95
Denmark,DNK,2002,62.3
Denmark,DNK,2003,63.1
Denmark,DNK,2004,62.25
Denmark,DNK,2005,62.55
Denmark,DNK,2006,63.1
Denmark,DNK,2007,62.7
Denmark,DNK,2008,63.15
Denmark,DNK,2009,63.4
Denmark,DNK,2010,62.9
Denmark,DNK,2011,62.45
Denmark,DNK,2012,62.6
Denmark,DNK,2013,61.95
Denmark,DNK,2014,61.8
Denmark,DNK,2015,62.65
Denmark,DNK,2016,63.3
Denmark,DNK,2017,63.65
Denmark,DNK,2018,63.8
Denmark,DNK,2019,63.9
Denmark,DNK,2020,63.65
Denmark,DNK,2021,64.85
Denmark,DNK,2022,64.15
Denmark,DNK,2023,65.1
Denmark,DNK,2024,64.9
Estonia,EST,1990,64.7
Estonia,EST,1991,64.55
Estonia,EST,1992,63.85
Estonia,EST,1993,63.95
Estonia,EST,1994,64.15
Estonia,EST,1995,63.9
Estonia,EST,1996,63.7
Estonia,EST,1997,63.85
Estonia,EST,1998,62.7
Estonia,EST,1999,62.05
Estonia,EST,2000,59.45
Estonia,EST,2001,60.2
Estonia,EST,2002,59.6
Estonia,EST,2003,59.35
Estonia,EST,2004,60.1
Estonia,EST,2005,62.7
Estonia,EST,2006,64.4
Estonia,EST,2007,64.6
Estonia,EST,2008,65.45
Estonia,EST,2009,65.9
Estonia,EST,2010,64.6
Estonia,EST,2011,63.6
Estonia,EST,2012,63.15
Estonia,EST,2013,63.55
Estonia,EST,2014,63.3
Estonia,EST,2015,63.9
Estonia,EST,2016,65.05
Estonia,EST,2017,65.5
Estonia,EST,2018,65.6
Estonia,EST,2019,64.3
Estonia,EST,2020,64.75
Estonia,EST,2021,64.85
Estonia,EST,2022,64.85
Estonia,EST,2023,66.15
Estonia,EST,2024,67.1
Finland,FIN,1990,60.45
Finland,FIN,1991,59.9
Finland,FIN,1992,59.85
Finland,FIN,1993,60.35
Finland,FIN,1994,60.45
Finland,FIN,1995,60.4
Finland,FIN,1996,60.8
Finland,FIN,1997,59.7
Finland,FIN,1998,59.8
Finland,FIN,1999,59.45
Finland,FIN,2000,60.0
Finland,FIN,2001,60.3
Finland,FIN,2002,60.4
Finland,FIN,2003,59.8
Finland,FIN,2004,60.1
Finland,FIN,2005,60.25
Finland,FIN,2006,60.25
Finland,FIN,2007,60.45
Finland,FIN,2008,61.1
Finland,FIN,2009,61.55
Finland,FIN,2010,61.7
Finland,FIN,2011,62.05
Finland,FIN,2012,62.45
Finland,FIN,2013,62.35
Finland,FIN,2014,62.15
Finland,FIN,2015,62.55
Finland,FIN,2016,62.9
Finland,FIN,2017,63.45
